StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CTC_TimeV_First Click,CTC_TimeV_Last Click,CTC_TimeV_Page Submit,CTC_TimeV_Click Count,CTC_Capt1_8,CTC_Time1_First Click,CTC_Time1_Last Click,CTC_Time1_Page Submit,CTC_Time1_Click Count,CTC_Sail_1,CTC_Time2_First Click,CTC_Time2_Last Click,CTC_Time2_Page Submit,CTC_Time2_Click Count,STC_TimeV_First Click,STC_TimeV_Last Click,STC_TimeV_Page Submit,STC_TimeV_Click Count,STC_Sail1_1,STC_Time1_First Click,STC_Time1_Last Click,STC_Time1_Page Submit,STC_Time1_Click Count,STC_Capt_1,STC_Time2_First Click,STC_Time2_Last Click,STC_Time2_Page Submit,STC_Time2_Click Count,CTP_TimeV_First Click,CTP_TimeV_Last Click,CTP_TimeV_Page Submit,CTP_TimeV_Click Count,CTP_Capt1_1,CTP_Time1_First Click,CTP_Time1_Last Click,CTP_Time1_Page Submit,CTP_Time1_Click Count,CTP_Sail_1,CTP_Time2_First Click,CTP_Time2_Last Click,CTP_Time2_Page Submit,CTP_Time2_Click Count,STP_TimeV_First Click,STP_TimeV_Last Click,STP_TimeV_Page Submit,STP_TimeV_Click Count,STP_Sail1_1,STP_Time1_First Click,STP_Time1_Last Click,STP_Time1_Page Submit,STP_Time1_Click Count,STP_Capt_1,STP_Time2_First Click,STP_Time2_Last Click,STP_Time2_Page Submit,STP_Time2_Click Count,politics,religion,gender,age,race,race_5_TEXT,income,FL_11_DO
8/29/2018 13:33,8/29/2018 13:33,IP Address,,100,28,TRUE,8/29/2018 13:33,R_1JXhL5TzHXaOJ7a,,,,,32.63609314,-117.0531998,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.96,0,100,1.034,3.504,3.856,2,100,1.776,4.314,4.451,3,,,,,,,,,,,,,,,Very Liberal,Not at All Religious,Male,27,Asian,,"$75,000 - $99,999",CaptainTest-Passengers
8/29/2018 13:33,8/29/2018 13:33,IP Address,,100,27,TRUE,8/29/2018 13:33,R_ZeCLOByFXBDlvDb,,,,,32.96029663,-96.83000183,anonymous,EN,,,,,,,,,,,,,,,0,0,1.608,0,82,3.888,3.888,4.748,1,92,0.885,0.885,1.513,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Conservative,Extremely Religious,Female,37,White,,"$25,000 - $49,999",SailorTest-Cargo
8/29/2018 13:33,8/29/2018 13:33,IP Address,,100,41,TRUE,8/29/2018 13:33,R_2AESPQFgyp43BXY,,,,,30.27929688,-81.58509827,anonymous,EN,0,0,9.813,0,16,6.13,6.13,8.635,1,10,2.201,2.201,3.169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Not at All Religious,Male,50,White,,"$100,000 - $149,999",CaptainTest-Cargo
8/29/2018 13:33,8/29/2018 13:33,IP Address,,100,36,TRUE,8/29/2018 13:33,R_3fI4toHyEdsfnJj,,,,,42.38279724,-71.09549713,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.137,0,64,5.416,9.185,10.134,3,71,1.746,1.746,2.873,1,2,4,Male,46,White,,"$25,000 - $49,999",SailorTest-Passengers
8/29/2018 13:33,8/29/2018 13:34,IP Address,,100,37,TRUE,8/29/2018 13:34,R_3e8GlNoPQrJZ0Qa,,,,,40.15240479,-74.19779968,anonymous,EN,0,0,13.824,0,87,1.965,1.965,2.633,1,89,1.733,1.733,2.528,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Not at All Religious,Female,29,White,,"$25,000 - $49,999",CaptainTest-Cargo
8/29/2018 13:33,8/29/2018 13:34,IP Address,,100,32,TRUE,8/29/2018 13:34,R_2SqXctj48P65uye,,,,,42.98750305,-82.46659851,anonymous,EN,,,,,,,,,,,,,,,0,0,9.829,0,76,3.23,3.23,3.931,1,74,2.888,2.888,3.511,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Female,32,White,,"$75,000 - $99,999",SailorTest-Cargo
8/29/2018 13:33,8/29/2018 13:34,IP Address,,100,31,TRUE,8/29/2018 13:34,R_24cuSp6B1IWZPyK,,,,,41.61619568,-70.49310303,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.136,0,0,3.701,3.701,4.643,1,5,2.986,3.705,4.241,2,,,,,,,,,,,,,,,2,5,Male,25,Black,,"$75,000 - $99,999",CaptainTest-Passengers
8/29/2018 13:33,8/29/2018 13:34,IP Address,,100,44,TRUE,8/29/2018 13:34,R_1qgKBO0NX1elZqr,,,,,43.00790405,-71.49500275,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,17.789,0,31,9.702,9.702,10.292,1,30,2.723,2.723,3.375,1,,,,,,,,,,,,,,,Very Liberal,Not at All Religious,Female,35,White,,"$25,000 - $49,999",CaptainTest-Passengers
8/29/2018 13:33,8/29/2018 13:34,IP Address,,100,44,TRUE,8/29/2018 13:34,R_Dq2UM10Vn166nYJ,,,,,34.02659607,-84.31520081,anonymous,EN,,,,,,,,,,,,,,,22.006,22.589,23.035,2,80,1.809,1.809,2.482,1,72,0.594,1.193,2.023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Liberal,Extremely Religious,Female,34,Black,,"$50,000 - $74,999",SailorTest-Cargo
8/29/2018 13:33,8/29/2018 13:34,IP Address,,100,59,TRUE,8/29/2018 13:34,R_UPYx6wUVrX1rQD7,,,,,36.30000305,-82.38240051,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.182,0,68,3.554,3.554,4.303,1,80,2.611,2.611,3.18,1,3,2,Female,23,"Other, please specify:",Black and White,"less than $25,000",SailorTest-Passengers
